Problem,,,Constructive algorithm,,Local search,,GRASP,
Name,n,m,alpha,Semi-greedy-1,Local-1,,GRASP-1,
,,,,,No. of iterations,Best value,No. of iterations,Best value
,,,0.23,422,,,,
,,,0.28,414,,,,
,,,0.29,422,,,,
,,,0.35,434,,,,
,,,0.35,442,,,,
,,,0.5,442,,,,
,,,0.52,454,,,,
,,,0.55,464,,,,
,,,0.56,446,,,,
,,,0.56,450,,,,
,,,0.59,456,,,,
,,,0.61,460,,,,
,,,0.64,464,,,,
,,,0.64,474,,,,
,,,0.65,450,,,,
,,,0.65,468,,,,
,,,0.66,474,,,,
,,,0.68,468,,,,
,,,0.7,476,,,,
,,,0.71,478,,,,
,,,0.75,486,,,,
,,,0.76,472,,,,
,,,0.79,482,,,,
,,,0.8,474,,,,
,,,0.82,466,,,,
,,,0.82,478,,,,
,,,0.85,480,,,,
,,,0.87,472,,,,
,,,0.89,482,,,,
,,,0.9,496,,,,
,,,0.95,474,,,,
,,,0.96,482,,,,
,,,0.97,476,,,,
,,,0.97,478,,,,
,,,0.97,484,,,,
,,,0.99,478,,,,
G13,800,1600,0.07,466,12,476,50,526
,,,0.12,434,,,,
,,,0.12,440,,,,
,,,0.15,462,,,,
,,,0.17,478,,,,
,,,0.18,468,,,,
,,,0.22,450,,,,
,,,0.24,462,,,,
,,,0.25,448,,,,
,,,0.25,462,,,,
,,,0.26,466,,,,
,,,0.27,452,,,,
,,,0.28,460,,,,
,,,0.29,438,,,,
,,,0.29,468,,,,
,,,0.35,478,,,,
,,,0.37,446,,,,
,,,0.38,448,,,,
,,,0.39,468,,,,
,,,0.4,468,,,,
,,,0.4,476,,,,
,,,0.41,454,,,,
,,,0.41,460,,,,
,,,0.43,450,,,,
,,,0.43,468,,,,
,,,0.45,460,,,,
,,,0.48,462,,,,
,,,0.51,474,,,,
,,,0.54,492,,,,
,,,0.6,476,,,,
,,,0.64,496,,,,
,,,0.65,472,,,,
,,,0.65,488,,,,
,,,0.65,490,,,,
,,,0.66,476,,,,
,,,0.68,488,,,,
,,,0.69,492,,,,
,,,0.69,496,,,,
,,,0.7,490,,,,
,,,0.74,494,,,,
,,,0.77,500,,,,
,,,0.77,512,,,,
,,,0.85,498,,,,
,,,0.91,506,,,,
,,,0.93,508,,,,
,,,0.94,498,,,,
,,,0.97,510,,,,
,,,0.99,516,,,,
,,,1,512,,,,
,,,1,526,,,,
G14,800,4694,0.02,2942,27,2964,50,2986
,,,0.02,2948,,,,
,,,0.03,2927,,,,
,,,0.03,2935,,,,
,,,0.04,2969,,,,
,,,0.07,2942,,,,
,,,0.08,2918,,,,
,,,0.09,2946,,,,
,,,0.09,2952,,,,
,,,0.09,2955,,,,
,,,0.14,2965,,,,
,,,0.15,2963,,,,
,,,0.25,2969,,,,
,,,0.26,2950,,,,
,,,0.29,2975,,,,
,,,0.35,2959,,,,
,,,0.36,2944,,,,
,,,0.38,2963,,,,
,,,0.39,2970,,,,
,,,0.39,2972,,,,
,,,0.42,2960,,,,
,,,0.42,2963,,,,
,,,0.42,2963,,,,
,,,0.44,2968,,,,
,,,0.45,2976,,,,
,,,0.47,2967,,,,
,,,0.47,2970,,,,
,,,0.5,2973,,,,
,,,0.5,2982,,,,
,,,0.54,2957,,,,
,,,0.54,2986,,,,
,,,0.61,2984,,,,
,,,0.62,2972,,,,
,,,0.63,2977,,,,
,,,0.64,2982,,,,
,,,0.66,2959,,,,
,,,0.68,2973,,,,
,,,0.7,2970,,,,
,,,0.71,2980,,,,
,,,0.76,2969,,,,
,,,0.8,2973,,,,
,,,0.8,2979,,,,
,,,0.81,2974,,,,
,,,0.82,2957,,,,
,,,0.84,2968,,,,
,,,0.85,2966,,,,
,,,0.89,2982,,,,
,,,0.92,2981,,,,
,,,0.96,2971,,,,
,,,0.98,2975,,,,
G15,800,4661,0,2916,26,2945,50,2972
,,,0,2933,,,,
,,,0.07,2940,,,,
,,,0.12,2941,,,,
,,,0.14,2940,,,,
,,,0.16,2934,,,,
,,,0.17,2947,,,,
,,,0.2,2949,,,,
,,,0.23,2940,,,,
,,,0.24,2948,,,,
,,,0.31,2933,,,,
,,,0.33,2952,,,,
,,,0.34,2950,,,,
,,,0.37,2956,,,,
,,,0.38,2955,,,,
,,,0.4,2937,,,,
,,,0.42,2938,,,,
,,,0.44,2941,,,,
,,,0.44,2948,,,,
,,,0.48,2949,,,,
,,,0.5,2953,,,,
,,,0.51,2934,,,,
,,,0.51,2940,,,,
,,,0.51,2949,,,,
,,,0.52,2972,,,,
,,,0.53,2956,,,,
,,,0.53,2961,,,,
,,,0.54,2957,,,,
,,,0.56,2961,,,,
,,,0.57,2943,,,,
,,,0.6,2947,,,,
,,,0.62,2938,,,,
,,,0.62,2954,,,,
,,,0.63,2950,,,,
,,,0.64,2939,,,,
,,,0.64,2950,,,,
,,,0.65,2954,,,,
,,,0.66,2928,,,,
,,,0.68,2940,,,,
,,,0.69,2946,,,,
,,,0.7,2955,,,,
,,,0.71,2921,,,,
,,,0.72,2951,,,,
,,,0.76,2960,,,,
,,,0.84,2938,,,,
,,,0.85,2941,,,,
,,,0.87,2945,,,,
,,,0.89,2934,,,,
,,,0.93,2944,,,,
,,,0.96,2958,,,,
G16,800,4672,0,2925,26,2952,50,2978
,,,0,2933,,,,
,,,0.01,2937,,,,
,,,0.03,2923,,,,
,,,0.04,2937,,,,
,,,0.09,2942,,,,
,,,0.11,2947,,,,
,,,0.14,2952,,,,
,,,0.16,2944,,,,
,,,0.17,2960,,,,
,,,0.22,2934,,,,
,,,0.25,2948,,,,
,,,0.26,2946,,,,
,,,0.31,2940,,,,
,,,0.34,2964,,,,
,,,0.35,2941,,,,
,,,0.35,2944,,,,
,,,0.35,2969,,,,
,,,0.36,2949,,,,
,,,0.36,2952,,,,
,,,0.39,2964,,,,
,,,0.42,2947,,,,
,,,0.42,2956,,,,
,,,0.42,2958,,,,
,,,0.43,2953,,,,
,,,0.52,2955,,,,
,,,0.53,2960,,,,
,,,0.54,2978,,,,
,,,0.58,2958,,,,
,,,0.61,2953,,,,
,,,0.63,2963,,,,
,,,0.65,2959,,,,
,,,0.68,2960,,,,
,,,0.69,2954,,,,
,,,0.71,2963,,,,
,,,0.72,2956,,,,
,,,0.74,2942,,,,
,,,0.75,2959,,,,
,,,0.77,2962,,,,
,,,0.8,2964,,,,
,,,0.82,2968,,,,
,,,0.84,2969,,,,
,,,0.85,2950,,,,
,,,0.87,2952,,,,
,,,0.89,2947,,,,
,,,0.9,2963,,,,
,,,0.91,2963,,,,
,,,0.92,2940,,,,
,,,0.98,2943,,,,
,,,0.99,2963,,,,
G17,800,4667,0.02,2926,27,2948,50,2972
,,,0.02,2939,,,,
,,,0.05,2938,,,,
,,,0.07,2934,,,,
,,,0.07,2945,,,,
,,,0.12,2960,,,,
,,,0.14,2938,,,,
,,,0.15,2938,,,,
,,,0.18,2932,,,,
,,,0.19,2938,,,,
,,,0.19,2952,,,,
,,,0.2,2962,,,,
,,,0.21,2928,,,,
,,,0.21,2958,,,,
,,,0.23,2960,,,,
,,,0.28,2933,,,,
,,,0.29,2937,,,,
,,,0.35,2947,,,,
,,,0.35,2951,,,,
,,,0.5,2954,,,,
,,,0.52,2938,,,,
,,,0.55,2952,,,,
,,,0.56,2936,,,,
,,,0.56,2965,,,,
,,,0.59,2953,,,,
,,,0.61,2957,,,,
,,,0.64,2938,,,,
,,,0.64,2962,,,,
,,,0.65,2951,,,,
,,,0.65,2958,,,,
,,,0.66,2963,,,,
,,,0.68,2963,,,,
,,,0.7,2947,,,,
,,,0.71,2944,,,,
,,,0.75,2947,,,,
,,,0.76,2953,,,,
,,,0.79,2956,,,,
,,,0.8,2947,,,,
,,,0.82,2955,,,,
,,,0.82,2959,,,,
,,,0.85,2954,,,,
,,,0.87,2955,,,,
,,,0.89,2951,,,,
,,,0.9,2959,,,,
,,,0.95,2972,,,,
,,,0.96,2940,,,,
,,,0.97,2935,,,,
,,,0.97,2937,,,,
,,,0.97,2940,,,,
,,,0.99,2956,,,,
G18,800,4694,0,825,59,854,50,930
,,,0,848,,,,
,,,0.01,824,,,,
,,,0.03,809,,,,
,,,0.04,846,,,,
,,,0.09,862,,,,
,,,0.11,872,,,,
,,,0.14,856,,,,
,,,0.16,838,,,,
,,,0.17,846,,,,
,,,0.22,850,,,,
,,,0.25,852,,,,
,,,0.26,884,,,,
,,,0.31,814,,,,
,,,0.34,837,,,,
,,,0.35,791,,,,
,,,0.35,802,,,,
,,,0.35,833,,,,
,,,0.36,845,,,,
,,,0.36,846,,,,
,,,0.39,820,,,,
,,,0.42,832,,,,
,,,0.42,835,,,,
,,,0.42,849,,,,
,,,0.43,822,,,,
,,,0.52,879,,,,
,,,0.53,836,,,,
,,,0.54,848,,,,
,,,0.58,868,,,,
,,,0.61,834,,,,
,,,0.63,930,,,,
,,,0.65,878,,,,
,,,0.68,827,,,,
,,,0.69,887,,,,
,,,0.71,854,,,,
,,,0.72,864,,,,
,,,0.74,871,,,,
,,,0.75,873,,,,
,,,0.77,865,,,,
,,,0.8,889,,,,
,,,0.82,838,,,,
,,,0.84,883,,,,
,,,0.85,853,,,,
,,,0.87,889,,,,
,,,0.89,888,,,,
,,,0.9,859,,,,
,,,0.91,873,,,,
,,,0.92,903,,,,
,,,0.98,859,,,,
,,,0.99,914,,,,
G19,800,4661,0.02,764,56,774,50,825
,,,0.02,776,,,,
,,,0.05,795,,,,
,,,0.07,719,,,,
,,,0.07,722,,,,
,,,0.12,730,,,,
,,,0.14,755,,,,
,,,0.15,776,,,,
,,,0.18,727,,,,
,,,0.19,730,,,,
,,,0.19,796,,,,
,,,0.2,760,,,,
,,,0.21,722,,,,
,,,0.21,770,,,,
,,,0.23,771,,,,
,,,0.28,788,,,,
,,,0.29,722,,,,
,,,0.35,750,,,,
,,,0.35,780,,,,
,,,0.5,764,,,,
,,,0.52,757,,,,
,,,0.55,785,,,,
,,,0.56,735,,,,
,,,0.56,794,,,,
,,,0.59,816,,,,
,,,0.61,772,,,,
,,,0.64,755,,,,
,,,0.64,795,,,,
,,,0.65,769,,,,
,,,0.65,771,,,,
,,,0.66,789,,,,
,,,0.68,796,,,,
,,,0.7,760,,,,
,,,0.71,779,,,,
,,,0.75,799,,,,
,,,0.76,760,,,,
,,,0.79,794,,,,
,,,0.8,794,,,,
,,,0.82,763,,,,
,,,0.82,824,,,,
,,,0.85,803,,,,
,,,0.87,787,,,,
,,,0.89,821,,,,
,,,0.9,802,,,,
,,,0.95,782,,,,
,,,0.96,801,,,,
,,,0.97,779,,,,
,,,0.97,780,,,,
,,,0.97,825,,,,
,,,0.99,802,,,,
G20,800,4672,0,782,57,800,50,849
,,,0,789,,,,
,,,0.01,747,,,,
,,,0.03,761,,,,
,,,0.04,793,,,,
,,,0.09,763,,,,
,,,0.11,789,,,,
,,,0.14,776,,,,
,,,0.16,780,,,,
,,,0.17,809,,,,
,,,0.22,791,,,,
,,,0.25,773,,,,
,,,0.26,791,,,,
,,,0.31,778,,,,
,,,0.34,765,,,,
,,,0.35,783,,,,
,,,0.35,793,,,,
,,,0.35,794,,,,
,,,0.36,783,,,,
,,,0.36,786,,,,
,,,0.39,759,,,,
,,,0.42,774,,,,
,,,0.42,795,,,,
,,,0.42,801,,,,
,,,0.43,782,,,,
,,,0.52,793,,,,
,,,0.53,814,,,,
,,,0.54,790,,,,
,,,0.58,801,,,,
,,,0.61,788,,,,
,,,0.63,791,,,,
,,,0.65,819,,,,
,,,0.68,816,,,,
